time,battery_state,rrp,export_kw,import_kw,grid_import_kwh,grid_export_kwh,cumulative_cost,cumulative_revenue,cumulative_profit
11/01/2025 5:20,0,117.22,0,0.24,0.02,0,43.20196207,26.47418005,-16.72778202
11/01/2025 5:25,0,116.17,0,0.252,0.021,0,43.20666978,26.47418005,-16.73248973
11/01/2025 5:30,0,111.79,0,0.216,0.018,0,43.21062613,26.47418005,-16.73644608
11/01/2025 5:35,0,117.29,0,0.288,0.024,0,43.21603326,26.47418005,-16.74185321
11/01/2025 5:40,0,111.74,0,0.252,0.021,0,43.22064794,26.47418005,-16.74646789
11/01/2025 5:45,0,109.53,0,0.156,0.013,0,43.22347592,26.47418005,-16.74929587
11/01/2025 5:50,0,105.74,0,0.144,0.012,0,43.22604089,26.47418005,-16.75186084
11/01/2025 5:55,0,102.81,0.012,0.132,0.01,0,43.22814906,26.47418005,-16.75396901
11/01/2025 6:00,0,85,0,0.096,0.008,0,43.22969311,26.47418005,-16.75551306
11/01/2025 6:05,0,85,0.06,0,0,0.005,43.22969311,26.47460505,-16.75508806
11/01/2025 6:10,0,76.92,0.048,0.012,0,0.003,43.22969311,26.47483581,-16.7548573
11/01/2025 6:15,0,75.9,0.012,0.012,0,0,43.22969311,26.47483581,-16.7548573
11/01/2025 6:20,0,76,0.012,0.048,0.003,0,43.23024514,26.47483581,-16.75540933
11/01/2025 6:25,0.92,60,0.012,0.036,0.923,0,43.3853156,26.47483581,-16.91047979
11/01/2025 6:30,0.934,60,0.168,0,0,0,43.3853156,26.47483581,-16.91047979
11/01/2025 6:35,0.952,60,0.216,0,0,0,43.3853156,26.47483581,-16.91047979
11/01/2025 6:40,0.952,74.75,0.252,0,0,0.021,43.3853156,26.47640556,-16.90891004
11/01/2025 6:45,0.958,60,0.072,0,0,0,43.3853156,26.47640556,-16.90891004
11/01/2025 6:50,0.971,57.01,0.156,0,0,0,43.3853156,26.47640556,-16.90891004
11/01/2025 6:55,0.995,44.77,0.288,0,0,0,43.3853156,26.47640556,-16.90891004
11/01/2025 7:00,1.026,44.45,0.372,0,0,0,43.3853156,26.47640556,-16.90891004
11/01/2025 7:05,1.06,44.67,0.408,0,0,0,43.3853156,26.47640556,-16.90891004
11/01/2025 7:10,1.092,37.55,0.384,0,0,0,43.3853156,26.47640556,-16.90891004
11/01/2025 7:15,1.092,104.59,0.456,0,0,0.038,43.3853156,26.48037998,-16.90493562
11/01/2025 7:20,1.147,57.01,0.66,0,0,0,43.3853156,26.48037998,-16.90493562
11/01/2025 7:25,1.147,75.9,0.816,0,0,0.068,43.3853156,26.48554118,-16.89977442
11/01/2025 7:30,1.147,76.72,0.72,0,0,0.06,43.3853156,26.49014438,-16.89517122
11/01/2025 7:35,1.147,78.36,0.72,0,0,0.06,43.3853156,26.49484598,-16.89046962
